,DATA INICIAL,DATA FINAL,REGIÃO,ESTADO,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO
15930,2007-02-18,2007-02-24,NORDESTE,CEARA,GASOLINA COMUM,283,R$/l,2.65,0.103,2.55,2.93,0.394,0.039,2.256,0.065,2.1561,2.5125,0.029
15957,2007-02-25,2007-03-03,NORDESTE,CEARA,GASOLINA COMUM,283,R$/l,2.649,0.105,2.55,2.93,0.395,0.04,2.254,0.06,2.1561,2.524,0.027
15984,2007-03-04,2007-03-10,NORDESTE,CEARA,GASOLINA COMUM,282,R$/l,2.644,0.105,2.5,2.95,0.393,0.04,2.251,0.066,2.1561,2.5154,0.029
16011,2007-03-11,2007-03-17,NORDESTE,CEARA,GASOLINA COMUM,283,R$/l,2.642,0.102,2.5,2.93,0.389,0.039,2.253,0.066,2.1561,2.5154,0.029
16038,2007-03-18,2007-03-24,NORDESTE,CEARA,GASOLINA COMUM,283,R$/l,2.641,0.102,2.5,2.93,0.387,0.039,2.254,0.065,2.1358,2.51,0.029
16065,2007-03-25,2007-03-31,NORDESTE,CEARA,GASOLINA COMUM,283,R$/l,2.639,0.1009999999999999,2.5,2.93,0.389,0.038,2.25,0.069,2.1567,2.51,0.031
16092,2007-04-01,2007-04-07,NORDESTE,CEARA,GASOLINA COMUM,282,R$/l,2.637,0.103,2.5,2.93,0.39,0.039,2.247,0.062,2.1567,2.51,0.028
16119,2007-04-08,2007-04-14,NORDESTE,CEARA,GASOLINA COMUM,282,R$/l,2.635,0.104,2.5,2.93,0.389,0.039,2.246,0.06,2.1567,2.51,0.027
16146,2007-04-15,2007-04-21,NORDESTE,CEARA,GASOLINA COMUM,282,R$/l,2.629,0.105,2.5,2.93,0.376,0.04,2.253,0.053,2.15,2.4723,0.024
16173,2007-04-22,2007-04-28,NORDESTE,CEARA,GASOLINA COMUM,281,R$/l,2.625,0.106,2.5,2.93,0.378,0.04,2.247,0.056,2.15,2.461,0.025
16200,2007-04-29,2007-05-05,NORDESTE,CEARA,GASOLINA COMUM,282,R$/l,2.6180000000000003,0.1169999999999999,2.5,2.93,0.364,0.045,2.254,0.054,2.15,2.461,0.024
16227,2007-05-06,2007-05-12,NORDESTE,CEARA,GASOLINA COMUM,281,R$/l,2.6210000000000004,0.1159999999999999,2.5,2.93,0.366,0.044,2.255,0.054,2.15,2.461,0.024
16254,2007-05-13,2007-05-19,NORDESTE,CEARA,GASOLINA COMUM,283,R$/l,2.617,0.1169999999999999,2.5,2.93,0.363,0.045,2.254,0.053,2.15,2.461,0.024
16281,2007-05-20,2007-05-26,NORDESTE,CEARA,GASOLINA COMUM,281,R$/l,2.611,0.121,2.49,2.93,0.359,0.046,2.252,0.054,2.15,2.4619,0.024
16308,2007-05-27,2007-06-02,NORDESTE,CEARA,GASOLINA COMUM,280,R$/l,2.575,0.136,2.45,2.93,0.326,0.053,2.249,0.059,2.15,2.65,0.026
16335,2007-06-03,2007-06-09,NORDESTE,CEARA,GASOLINA COMUM,280,R$/l,2.559,0.145,2.45,2.93,0.312,0.057,2.247,0.057,2.15,2.481,0.025
16362,2007-06-10,2007-06-16,NORDESTE,CEARA,GASOLINA COMUM,280,R$/l,2.547,0.149,2.42,2.93,0.31,0.059,2.237,0.054,2.1499,2.481,0.024
16389,2007-06-17,2007-06-23,NORDESTE,CEARA,GASOLINA COMUM,280,R$/l,2.537,0.154,2.42,2.98,0.303,0.061,2.234,0.053,2.1489,2.481,0.024
16416,2007-06-24,2007-06-30,NORDESTE,CEARA,GASOLINA COMUM,282,R$/l,2.526,0.16,2.38,2.93,0.298,0.063,2.228,0.05,2.15,2.4211,0.022
16443,2007-07-01,2007-07-07,NORDESTE,CEARA,GASOLINA COMUM,279,R$/l,2.508,0.168,2.33,2.93,0.287,0.067,2.221,0.053,2.125,2.4211,0.024
16470,2007-07-08,2007-07-14,NORDESTE,CEARA,GASOLINA COMUM,281,R$/l,2.466,0.185,2.26,2.9,0.269,0.075,2.197,0.063,2.003,2.465,0.029
16497,2007-07-15,2007-07-21,NORDESTE,CEARA,GASOLINA COMUM,279,R$/l,2.502,0.18,2.23,2.9,0.317,0.072,2.185,0.057,2.1204,2.4211,0.026
16524,2007-07-22,2007-07-28,NORDESTE,CEARA,GASOLINA COMUM,278,R$/l,2.66,0.088,2.42,2.9,0.474,0.033,2.186,0.057,2.1245,2.4211,0.026
16551,2007-07-29,2007-08-04,NORDESTE,CEARA,GASOLINA COMUM,279,R$/l,2.656,0.087,2.42,2.9,0.456,0.033,2.2,0.055,2.1122,2.4211,0.025
16578,2007-08-05,2007-08-11,NORDESTE,CEARA,GASOLINA COMUM,279,R$/l,2.657,0.087,2.42,2.9,0.448,0.033,2.209,0.054,2.116,2.4211,0.024
16605,2007-08-12,2007-08-18,NORDESTE,CEARA,GASOLINA COMUM,231,R$/l,2.654,0.09,2.42,2.9,0.446,0.034,2.208,0.053,2.0882,2.39,0.024
16632,2007-08-19,2007-08-25,NORDESTE,CEARA,GASOLINA COMUM,227,R$/l,2.653,0.0969999999999999,2.42,2.9,0.445,0.037,2.208,0.055,2.09,2.4211,0.025
16659,2007-08-26,2007-09-01,NORDESTE,CEARA,GASOLINA COMUM,225,R$/l,2.65,0.096,2.4,2.9,0.443,0.036,2.207,0.057,2.085,2.39,0.026
16686,2007-09-02,2007-09-08,NORDESTE,CEARA,GASOLINA COMUM,230,R$/l,2.649,0.095,2.4,2.9,0.444,0.036,2.205,0.053,2.09,2.39,0.024
16713,2007-09-09,2007-09-15,NORDESTE,CEARA,GASOLINA COMUM,225,R$/l,2.647,0.0969999999999999,2.4,2.9,0.446,0.037,2.201,0.054,2.099,2.415,0.025
16740,2007-09-16,2007-09-22,NORDESTE,CEARA,GASOLINA COMUM,226,R$/l,2.6460000000000004,0.096,2.4,2.9,0.449,0.036,2.197,0.052,2.09,2.362,0.024
16767,2007-09-23,2007-09-29,NORDESTE,CEARA,GASOLINA COMUM,227,R$/l,2.637,0.096,2.4,2.9,0.443,0.036,2.194,0.048,2.0094,2.362,0.022
16794,2007-09-30,2007-10-06,NORDESTE,CEARA,GASOLINA COMUM,228,R$/l,2.638,0.0969999999999999,2.4,2.9,0.442,0.037,2.196,0.05,2.09,2.362,0.023
16821,2007-10-07,2007-10-13,NORDESTE,CEARA,GASOLINA COMUM,227,R$/l,2.635,0.096,2.4,2.9,0.451,0.036,2.184,0.053,2.09,2.4011,0.024
16848,2007-10-14,2007-10-20,NORDESTE,CEARA,GASOLINA COMUM,228,R$/l,2.631,0.086,2.55,2.9,0.432,0.033,2.199,0.049,2.0997,2.362,0.022
16875,2007-10-21,2007-10-27,NORDESTE,CEARA,GASOLINA COMUM,227,R$/l,2.628,0.084,2.55,2.9,0.429,0.032,2.199,0.048,2.0947,2.362,0.022
16902,2007-10-28,2007-11-03,NORDESTE,CEARA,GASOLINA COMUM,227,R$/l,2.619,0.091,2.49,2.9,0.422,0.035,2.197,0.048,2.09,2.362,0.022
16929,2007-11-04,2007-11-10,NORDESTE,CEARA,GASOLINA COMUM,227,R$/l,2.61,0.0969999999999999,2.39,2.9,0.418,0.037,2.192,0.051,2.09,2.377,0.023
16956,2007-11-11,2007-11-17,NORDESTE,CEARA,GASOLINA COMUM,227,R$/l,2.497,0.154,2.35,2.9,0.308,0.062,2.189,0.05,2.0977,2.377,0.023
16983,2007-11-18,2007-11-24,NORDESTE,CEARA,GASOLINA COMUM,226,R$/l,2.442,0.192,2.17,2.9,0.268,0.079,2.174,0.054,2.079,2.377,0.025
17010,2007-11-25,2007-12-01,NORDESTE,CEARA,GASOLINA COMUM,227,R$/l,2.418,0.208,2.14,2.9,0.266,0.086,2.152,0.063,2.04,2.377,0.029
17037,2007-12-02,2007-12-08,NORDESTE,CEARA,GASOLINA COMUM,226,R$/l,2.495,0.178,2.15,2.9,0.33,0.071,2.165,0.067,2.0521,2.509,0.031
17064,2007-12-09,2007-12-15,NORDESTE,CEARA,GASOLINA COMUM,227,R$/l,2.651,0.1009999999999999,2.25,2.9,0.461,0.038,2.19,0.065,2.0538,2.412,0.03
17091,2007-12-16,2007-12-22,NORDESTE,CEARA,GASOLINA COMUM,226,R$/l,2.664,0.085,2.25,2.9,0.453,0.032,2.211,0.065,2.0521,2.412,0.029
17118,2007-12-23,2007-12-29,NORDESTE,CEARA,GASOLINA COMUM,224,R$/l,2.68,0.066,2.46,2.9,0.451,0.025,2.229,0.05,2.097,2.412,0.022
17145,2007-12-30,2008-01-05,NORDESTE,CEARA,GASOLINA COMUM,226,R$/l,2.681,0.062,2.58,2.9,0.459,0.023,2.222,0.056,2.125,2.412,0.025
17172,2008-01-06,2008-01-12,NORDESTE,CEARA,GASOLINA COMUM,227,R$/l,2.68,0.067,2.46,2.9,0.453,0.025,2.227,0.053,2.135,2.3888,0.024
17199,2008-01-13,2008-01-19,NORDESTE,CEARA,GASOLINA COMUM,227,R$/l,2.675,0.067,2.58,2.9,0.444,0.025,2.231,0.049,2.13,2.4511,0.022
17226,2008-01-20,2008-01-26,NORDESTE,CEARA,GASOLINA COMUM,226,R$/l,2.676,0.07,2.55,2.9,0.454,0.026,2.222,0.049,2.13,2.388,0.022
17253,2008-01-27,2008-02-02,NORDESTE,CEARA,GASOLINA COMUM,227,R$/l,2.676,0.068,2.55,2.9,0.449,0.025,2.227,0.048,2.12,2.388,0.022
17280,2008-02-03,2008-02-09,NORDESTE,CEARA,GASOLINA COMUM,225,R$/l,2.672,0.069,2.55,2.9,0.445,0.026,2.227,0.043,2.12,2.388,0.019
17307,2008-02-10,2008-02-16,NORDESTE,CEARA,GASOLINA COMUM,227,R$/l,2.6660000000000004,0.07,2.55,2.9,0.434,0.026,2.232,0.048,2.12,2.3622,0.022
17334,2008-02-17,2008-02-23,NORDESTE,CEARA,GASOLINA COMUM,226,R$/l,2.664,0.074,2.49,2.9,0.44,0.0279999999999999,2.224,0.046,2.0962,2.3622,0.021
17361,2008-02-24,2008-03-01,NORDESTE,CEARA,GASOLINA COMUM,227,R$/l,2.667,0.075,2.46,2.9,0.453,0.0279999999999999,2.214,0.049,2.121,2.38,0.022
17388,2008-03-02,2008-03-08,NORDESTE,CEARA,GASOLINA COMUM,228,R$/l,2.657,0.077,2.54,2.9,0.432,0.0289999999999999,2.225,0.05,2.12,2.4011,0.022
17415,2008-03-09,2008-03-15,NORDESTE,CEARA,GASOLINA COMUM,228,R$/l,2.6460000000000004,0.0819999999999999,2.49,2.9,0.43,0.031,2.216,0.049,2.076,2.328,0.022
17442,2008-03-16,2008-03-22,NORDESTE,CEARA,GASOLINA COMUM,228,R$/l,2.615,0.096,2.449,2.9,0.403,0.037,2.212,0.048,2.121,2.3672,0.022
17469,2008-03-23,2008-03-29,NORDESTE,CEARA,GASOLINA COMUM,228,R$/l,2.5660000000000003,0.122,2.43,2.9,0.343,0.048,2.223,0.048,2.1085,2.38,0.022
17496,2008-03-30,2008-04-05,NORDESTE,CEARA,GASOLINA COMUM,228,R$/l,2.5340000000000003,0.141,2.387,2.9,0.331,0.0559999999999999,2.203,0.047,2.12,2.38,0.021
17523,2008-04-06,2008-04-12,NORDESTE,CEARA,GASOLINA COMUM,228,R$/l,2.507,0.154,2.35,2.9,0.303,0.061,2.204,0.051,2.112,2.38,0.023
17550,2008-04-13,2008-04-19,NORDESTE,CEARA,GASOLINA COMUM,225,R$/l,2.472,0.174,2.289,2.9,0.269,0.07,2.203,0.047,2.124,2.3471,0.021
17577,2008-04-20,2008-04-26,NORDESTE,CEARA,GASOLINA COMUM,225,R$/l,2.4730000000000003,0.173,2.27,2.9,0.278,0.07,2.195,0.054,2.124,2.38,0.025
17604,2008-04-27,2008-05-03,NORDESTE,CEARA,GASOLINA COMUM,225,R$/l,2.45,0.188,2.269,2.9,0.259,0.077,2.191,0.05,2.124,2.3654,0.023
17631,2008-05-04,2008-05-10,NORDESTE,CEARA,GASOLINA COMUM,226,R$/l,2.438,0.191,2.229,2.9,0.25,0.078,2.188,0.048,2.1172,2.328,0.022
17658,2008-05-11,2008-05-17,NORDESTE,CEARA,GASOLINA COMUM,226,R$/l,2.46,0.181,2.27,2.9,0.265,0.074,2.195,0.051,2.12,2.38,0.023
17685,2008-05-18,2008-05-24,NORDESTE,CEARA,GASOLINA COMUM,224,R$/l,2.465,0.173,2.27,2.9,0.274,0.07,2.191,0.051,2.1249,2.328,0.023
17712,2008-05-25,2008-05-31,NORDESTE,CEARA,GASOLINA COMUM,224,R$/l,2.476,0.173,2.25,2.9,0.284,0.07,2.192,0.059,2.099,2.39,0.027
17739,2008-06-01,2008-06-07,NORDESTE,CEARA,GASOLINA COMUM,222,R$/l,2.467,0.177,2.25,2.9,0.282,0.072,2.185,0.059,2.099,2.39,0.027
17766,2008-06-08,2008-06-14,NORDESTE,CEARA,GASOLINA COMUM,222,R$/l,2.455,0.185,2.199,2.9,0.267,0.075,2.188,0.062,2.016,2.39,0.028
17793,2008-06-15,2008-06-21,NORDESTE,CEARA,GASOLINA COMUM,220,R$/l,2.515,0.148,2.339,2.9,0.289,0.059,2.226,0.055,2.1299,2.39,0.025
17820,2008-06-22,2008-06-28,NORDESTE,CEARA,GASOLINA COMUM,221,R$/l,2.53,0.138,2.39,2.9,0.301,0.055,2.229,0.05,2.115,2.39,0.022
17847,2008-06-29,2008-07-05,NORDESTE,CEARA,GASOLINA COMUM,222,R$/l,2.556,0.131,2.34,2.9,0.325,0.051,2.231,0.049,2.1165,2.39,0.022
17874,2008-07-06,2008-07-12,NORDESTE,CEARA,GASOLINA COMUM,224,R$/l,2.599,0.106,2.39,2.9,0.358,0.0409999999999999,2.241,0.044,2.135,2.39,0.02
17901,2008-07-13,2008-07-19,NORDESTE,CEARA,GASOLINA COMUM,234,R$/l,2.611,0.108,2.39,2.9,0.367,0.0409999999999999,2.244,0.052,1.91,2.39,0.023
17928,2008-07-20,2008-07-26,NORDESTE,CEARA,GASOLINA COMUM,231,R$/l,2.612,0.102,2.399,2.9,0.361,0.039,2.251,0.054,1.91,2.39,0.024
17955,2008-07-27,2008-08-02,NORDESTE,CEARA,GASOLINA COMUM,224,R$/l,2.6180000000000003,0.0969999999999999,2.49,2.9,0.355,0.037,2.263,0.042,2.1268,2.46,0.019
17982,2008-08-03,2008-08-09,NORDESTE,CEARA,GASOLINA COMUM,226,R$/l,2.623,0.096,2.53,2.9,0.353,0.037,2.27,0.044,2.1268,2.469,0.019
18009,2008-08-10,2008-08-16,NORDESTE,CEARA,GASOLINA COMUM,226,R$/l,2.6180000000000003,0.099,2.45,2.9,0.358,0.038,2.26,0.043,2.178,2.39,0.019
18036,2008-08-17,2008-08-23,NORDESTE,CEARA,GASOLINA COMUM,226,R$/l,2.617,0.098,2.45,2.9,0.343,0.037,2.274,0.036,2.195,2.39,0.016
18063,2008-08-24,2008-08-30,NORDESTE,CEARA,GASOLINA COMUM,226,R$/l,2.622,0.104,2.52,2.94,0.352,0.04,2.27,0.036,2.18,2.3757,0.016
18090,2008-08-31,2008-09-06,NORDESTE,CEARA,GASOLINA COMUM,227,R$/l,2.622,0.1,2.549,2.93,0.347,0.038,2.275,0.038,2.1939,2.3896,0.017
18117,2008-09-07,2008-09-13,NORDESTE,CEARA,GASOLINA COMUM,228,R$/l,2.61,0.104,2.45,2.9,0.341,0.04,2.269,0.038,2.195,2.376,0.017
18144,2008-09-14,2008-09-20,NORDESTE,CEARA,GASOLINA COMUM,228,R$/l,2.612,0.105,2.47,2.9,0.342,0.04,2.27,0.041,2.1934,2.408,0.018
18171,2008-09-21,2008-09-27,NORDESTE,CEARA,GASOLINA COMUM,230,R$/l,2.5980000000000003,0.114,2.489,2.9,0.344,0.044,2.254,0.045,2.19,2.39,0.02
18198,2008-09-28,2008-10-04,NORDESTE,CEARA,GASOLINA COMUM,230,R$/l,2.579,0.122,2.469,2.9,0.324,0.047,2.255,0.051,2.1405,2.44,0.023
18225,2008-10-05,2008-10-11,NORDESTE,CEARA,GASOLINA COMUM,229,R$/l,2.567,0.128,2.469,2.9,0.32,0.05,2.247,0.048,2.1306,2.39,0.021
18252,2008-10-12,2008-10-18,NORDESTE,CEARA,GASOLINA COMUM,231,R$/l,2.565,0.132,2.47,2.9,0.317,0.051,2.248,0.045,2.1905,2.4046,0.02
18279,2008-10-19,2008-10-25,NORDESTE,CEARA,GASOLINA COMUM,228,R$/l,2.556,0.133,2.44,2.9,0.314,0.052,2.242,0.049,2.175,2.41,0.022
18306,2008-10-26,2008-11-01,NORDESTE,CEARA,GASOLINA COMUM,229,R$/l,2.549,0.138,2.444,2.9,0.313,0.054,2.236,0.05,2.1765,2.41,0.022
18333,2008-11-02,2008-11-08,NORDESTE,CEARA,GASOLINA COMUM,229,R$/l,2.546,0.14,2.44,2.9,0.309,0.055,2.237,0.05,2.1,2.41,0.022
18360,2008-11-09,2008-11-15,NORDESTE,CEARA,GASOLINA COMUM,231,R$/l,2.539,0.144,2.449,2.9,0.305,0.057,2.234,0.05,2.1,2.41,0.022
18387,2008-11-16,2008-11-22,NORDESTE,CEARA,GASOLINA COMUM,231,R$/l,2.535,0.146,2.349,2.98,0.309,0.0579999999999999,2.226,0.052,2.1,2.39,0.023
18414,2008-11-23,2008-11-29,NORDESTE,CEARA,GASOLINA COMUM,230,R$/l,2.53,0.15,2.419,2.9,0.307,0.059,2.223,0.056,2.0072,2.39,0.025
18441,2008-11-30,2008-12-06,NORDESTE,CEARA,GASOLINA COMUM,230,R$/l,2.518,0.154,2.37,2.9,0.297,0.061,2.221,0.056,2.1,2.41,0.025
18468,2008-12-07,2008-12-13,NORDESTE,CEARA,GASOLINA COMUM,230,R$/l,2.516,0.159,2.35,2.96,0.295,0.063,2.221,0.054,2.15,2.41,0.024
18495,2008-12-14,2008-12-20,NORDESTE,CEARA,GASOLINA COMUM,230,R$/l,2.519,0.156,2.37,2.96,0.309,0.062,2.21,0.058,2.118,2.41,0.026
18522,2008-12-21,2008-12-27,NORDESTE,CEARA,GASOLINA COMUM,229,R$/l,2.523,0.153,2.37,2.9,0.309,0.061,2.214,0.057,2.1425,2.41,0.026
18549,2008-12-28,2009-01-03,NORDESTE,CEARA,GASOLINA COMUM,225,R$/l,2.501,0.16,2.35,2.9,0.29,0.064,2.211,0.059,2.1425,2.41,0.027
18576,2009-01-04,2009-01-10,NORDESTE,CEARA,GASOLINA COMUM,229,R$/l,2.505,0.1639999999999999,2.37,2.9,0.297,0.065,2.208,0.055,2.15,2.41,0.025
18603,2009-01-11,2009-01-17,NORDESTE,CEARA,GASOLINA COMUM,229,R$/l,2.492,0.1689999999999999,2.35,2.9,0.289,0.068,2.203,0.057,2.1344,2.41,0.026
18630,2009-01-18,2009-01-24,NORDESTE,CEARA,GASOLINA COMUM,229,R$/l,2.44,0.201,2.17,2.9,0.253,0.0819999999999999,2.187,0.071,2.0296,2.41,0.032
18657,2009-01-25,2009-01-31,NORDESTE,CEARA,GASOLINA COMUM,232,R$/l,2.396,0.231,2.169,2.99,0.24,0.096,2.156,0.086,2.0278,2.41,0.04
18684,2009-02-01,2009-02-07,NORDESTE,CEARA,GASOLINA COMUM,231,R$/l,2.51,0.166,2.29,2.9,0.342,0.066,2.168,0.084,2.0278,2.41,0.039
18711,2009-02-08,2009-02-14,NORDESTE,CEARA,GASOLINA COMUM,231,R$/l,2.597,0.115,2.39,2.9,0.371,0.044,2.226,0.055,2.0401,2.41,0.025
18738,2009-02-15,2009-02-21,NORDESTE,CEARA,GASOLINA COMUM,227,R$/l,2.6060000000000003,0.111,2.41,2.9,0.37,0.043,2.236,0.05,2.13,2.41,0.022
18765,2009-02-22,2009-02-28,NORDESTE,CEARA,GASOLINA COMUM,228,R$/l,2.582,0.121,2.38,2.9,0.339,0.047,2.243,0.05,2.13,2.44,0.022
18792,2009-03-01,2009-03-07,NORDESTE,CEARA,GASOLINA COMUM,228,R$/l,2.5780000000000003,0.124,2.39,2.9,0.337,0.048,2.241,0.051,2.144,2.44,0.023
18819,2009-03-08,2009-03-14,NORDESTE,CEARA,GASOLINA COMUM,226,R$/l,2.597,0.1159999999999999,2.37,2.9,0.364,0.045,2.233,0.052,2.1413,2.44,0.023
18846,2009-03-15,2009-03-21,NORDESTE,CEARA,GASOLINA COMUM,225,R$/l,2.548,0.142,2.35,2.9,0.317,0.0559999999999999,2.231,0.052,2.1189,2.44,0.023
18873,2009-03-22,2009-03-28,NORDESTE,CEARA,GASOLINA COMUM,226,R$/l,2.496,0.168,2.299,2.9,0.276,0.067,2.22,0.058,2.098,2.44,0.026
18900,2009-03-29,2009-04-04,NORDESTE,CEARA,GASOLINA COMUM,226,R$/l,2.492,0.176,2.29,2.9,0.271,0.071,2.221,0.052,2.1377,2.39,0.023
18927,2009-04-05,2009-04-11,NORDESTE,CEARA,GASOLINA COMUM,224,R$/l,2.479,0.179,2.27,2.9,0.279,0.072,2.2,0.065,2.1343,2.44,0.03
18954,2009-04-12,2009-04-18,NORDESTE,CEARA,GASOLINA COMUM,227,R$/l,2.461,0.19,2.279,2.9,0.275,0.077,2.186,0.064,2.085,2.39,0.029
18981,2009-04-19,2009-04-25,NORDESTE,CEARA,GASOLINA COMUM,227,R$/l,2.446,0.2,2.239,2.9,0.257,0.0819999999999999,2.189,0.062,2.13,2.44,0.028
19008,2009-04-26,2009-05-02,NORDESTE,CEARA,GASOLINA COMUM,225,R$/l,2.45,0.2,2.25,2.9,0.261,0.0819999999999999,2.189,0.066,2.1,2.44,0.03
19035,2009-05-03,2009-05-09,NORDESTE,CEARA,GASOLINA COMUM,226,R$/l,2.455,0.196,2.229,2.9,0.282,0.08,2.173,0.069,2.0987,2.44,0.032
19062,2009-05-10,2009-05-16,NORDESTE,CEARA,GASOLINA COMUM,228,R$/l,2.44,0.203,2.199,2.9,0.272,0.083,2.168,0.068,2.0464,2.44,0.031
19089,2009-05-17,2009-05-23,NORDESTE,CEARA,GASOLINA COMUM,227,R$/l,2.405,0.221,2.149,2.9,0.25,0.092,2.155,0.078,2.01,2.44,0.036
19116,2009-05-24,2009-05-30,NORDESTE,CEARA,GASOLINA COMUM,231,R$/l,2.4130000000000003,0.222,2.149,2.9,0.267,0.092,2.146,0.085,2,2.44,0.04
19143,2009-05-31,2009-06-06,NORDESTE,CEARA,GASOLINA COMUM,231,R$/l,2.385,0.233,2.14,2.9,0.27,0.098,2.115,0.094,1.9928,2.44,0.044
19170,2009-06-07,2009-06-13,NORDESTE,CEARA,GASOLINA COMUM,226,R$/l,2.364,0.243,2.119,2.9,0.259,0.103,2.105,0.096,1.9999,2.398,0.046
19197,2009-06-14,2009-06-20,NORDESTE,CEARA,GASOLINA COMUM,228,R$/l,2.397,0.231,2.12,2.9,0.277,0.096,2.12,0.098,1.9999,2.44,0.046
19224,2009-06-21,2009-06-27,NORDESTE,CEARA,GASOLINA COMUM,234,R$/l,2.567,0.141,2.129,2.9,0.409,0.055,2.158,0.086,1.9999,2.44,0.04
19251,2009-06-28,2009-07-04,NORDESTE,CEARA,GASOLINA COMUM,229,R$/l,2.595,0.119,2.35,2.9,0.374,0.046,2.221,0.053,2.0194,2.39,0.024
19278,2009-07-05,2009-07-11,NORDESTE,CEARA,GASOLINA COMUM,227,R$/l,2.604,0.1119999999999999,2.39,2.9,0.371,0.043,2.233,0.044,2.1253,2.39,0.02
19305,2009-07-12,2009-07-18,NORDESTE,CEARA,GASOLINA COMUM,233,R$/l,2.6010000000000004,0.113,2.39,2.9,0.374,0.043,2.227,0.044,2.12,2.39,0.02
19332,2009-07-19,2009-07-25,NORDESTE,CEARA,GASOLINA COMUM,229,R$/l,2.6010000000000004,0.113,2.39,2.9,0.37,0.043,2.231,0.045,2.1272,2.4,0.02
19359,2009-07-26,2009-08-01,NORDESTE,CEARA,GASOLINA COMUM,228,R$/l,2.599,0.115,2.39,2.9,0.369,0.044,2.23,0.043,2.1289,2.39,0.019
19386,2009-08-02,2009-08-08,NORDESTE,CEARA,GASOLINA COMUM,229,R$/l,2.6,0.1119999999999999,2.39,2.9,0.363,0.043,2.237,0.044,2.146,2.39,0.02
19413,2009-08-09,2009-08-15,NORDESTE,CEARA,GASOLINA COMUM,230,R$/l,2.6010000000000004,0.113,2.39,2.9,0.372,0.043,2.229,0.043,2.1272,2.39,0.019
19440,2009-08-30,2009-09-05,NORDESTE,CEARA,GASOLINA COMUM,91,R$/l,2.545,0.098,2.11,2.779,0.331,0.039,2.214,0.025,2.1562,2.2678,0.011
19467,2009-09-06,2009-09-12,NORDESTE,CEARA,GASOLINA COMUM,97,R$/l,2.544,0.0819999999999999,2.47,2.799,0.331,0.032,2.213,0.048,2.1379,2.5,0.022
19494,2009-09-13,2009-09-19,NORDESTE,CEARA,GASOLINA COMUM,144,R$/l,2.556,0.102,2.38,2.799,0.338,0.04,2.218,0.051,2.025,2.4,0.023
19521,2009-09-20,2009-09-26,NORDESTE,CEARA,GASOLINA COMUM,148,R$/l,2.544,0.108,2.38,2.799,0.323,0.042,2.221,0.031,2.1687,2.31,0.014
19548,2009-09-27,2009-10-03,NORDESTE,CEARA,GASOLINA COMUM,136,R$/l,2.549,0.102,2.38,2.899,0.319,0.04,2.23,0.042,2.1621,2.419,0.019
19575,2009-10-04,2009-10-10,NORDESTE,CEARA,GASOLINA COMUM,219,R$/l,2.552,0.147,2.1,3.39,0.32,0.0579999999999999,2.232,0.053,2.1718,2.67,0.024
19602,2009-10-11,2009-10-17,NORDESTE,CEARA,GASOLINA COMUM,224,R$/l,2.553,0.1369999999999999,2.38,2.89,0.307,0.054,2.246,0.056,2.1778,2.67,0.025
19629,2009-10-18,2009-10-24,NORDESTE,CEARA,GASOLINA COMUM,241,R$/l,2.539,0.139,2.22,2.88,0.296,0.055,2.243,0.051,2.06,2.59,0.023
19656,2009-10-25,2009-10-31,NORDESTE,CEARA,GASOLINA COMUM,223,R$/l,2.522,0.17,2.05,2.9,0.279,0.067,2.243,0.07,2.022,2.59,0.031
19683,2009-11-01,2009-11-07,NORDESTE,CEARA,GASOLINA COMUM,236,R$/l,2.523,0.157,2.269,2.99,0.301,0.062,2.222,0.119,1.1111,2.352,0.054
19710,2009-11-08,2009-11-14,NORDESTE,CEARA,GASOLINA COMUM,237,R$/l,2.659,0.105,2.46,2.9,0.39,0.039,2.269,0.037,2.2,2.4,0.016
19737,2009-11-15,2009-11-21,NORDESTE,CEARA,GASOLINA COMUM,234,R$/l,2.677,0.1,2.39,2.94,0.404,0.037,2.273,0.034,2.2,2.45,0.015
19764,2009-11-22,2009-11-28,NORDESTE,CEARA,GASOLINA COMUM,227,R$/l,2.674,0.087,2.459,2.9,0.404,0.033,2.27,0.044,2.2,2.57,0.019
19791,2009-11-29,2009-12-05,NORDESTE,CEARA,GASOLINA COMUM,228,R$/l,2.665,0.098,2.47,2.89,0.394,0.037,2.271,0.051,2.033,2.599,0.022
19818,2009-12-06,2009-12-12,NORDESTE,CEARA,GASOLINA COMUM,223,R$/l,2.635,0.099,2.469,2.89,0.377,0.038,2.258,0.03,2.2,2.393,0.013
19845,2009-12-13,2009-12-19,NORDESTE,CEARA,GASOLINA COMUM,232,R$/l,2.592,0.1169999999999999,2.459,2.89,0.336,0.045,2.256,0.04,2.1929,2.474,0.018
